State,Confined ,Deaths,Recovered
Maharashtra,284281,11194,158140
Tamil Nadu,156369,2236,107416
Delhi,118645,3545,97693
Karnataka,51422,1032,19729
Gujarat,45481,2089,32103
Uttar Pradesh,43441,1046,26675
